CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
736216184,09/30/2016,23:25:00,09/30/2016,23:25:00,09/30/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BRONX,42,,TRANSIT - NYC SUBWAY,,,1015308,244373,40.837376359,-73.887760929,"(40.837376359, -73.887760929)"
294332956,09/30/2016,23:16:00,09/30/2016,23:21:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,OPPOSITE OF,STREET,,,997932,180172,40.661204871,-73.950686652,"(40.661204871, -73.950686652)"
852981427,09/30/2016,23:00:00,09/30/2016,23:05:00,09/30/2016,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025580,236918,40.816872438,-73.850684927,"(40.816872438, -73.850684927)"
369976063,09/30/2016,23:00:00,,,09/30/2016,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1038464,192970,40.696177006,-73.804492266,"(40.696177006, -73.804492266)"
117213771,09/30/2016,23:00:00,09/30/2016,23:10:00,09/30/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,110,FRONT OF,STREET,,,1016301,209428,40.741458245,-73.884339073,"(40.741458245, -73.884339073)"
535504374,09/30/2016,22:55:00,09/30/2016,23:15:00,09/30/2016,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1016123,180753,40.662752793,-73.885117129,"(40.662752793, -73.885117129)"
457718282,09/30/2016,22:51:00,,,09/30/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,FRONT OF,STREET,,,1021316,253601,40.862681292,-73.86599763,"(40.862681292, -73.86599763)"
169644942,09/30/2016,22:48:00,09/30/2016,22:50:00,09/30/2016,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1001446,234215,40.809533401,-73.937882826,"(40.809533401, -73.937882826)"
814258815,09/30/2016,22:45:00,,,09/30/2016,117,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,1000481,243059,40.833809505,-73.941347389,"(40.833809505, -73.941347389)"
589253624,09/30/2016,22:45:00,09/30/2016,22:50:00,09/30/2016,117,DANGEROUS DRUGS,501,"CONTROLLED SUBSTANCE,POSSESS.",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021576,240437,40.826548914,-73.865130932,"(40.826548914, -73.865130932)"
