CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
736216184,09/30/2016,23:25:00,09/30/2016,23:25:00,09/30/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BRONX,42,,TRANSIT - NYC SUBWAY,,,1015308,244373,40.837376359,-73.887760929,"(40.837376359, -73.887760929)"
294332956,09/30/2016,23:16:00,09/30/2016,23:21:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,OPPOSITE OF,STREET,,,997932,180172,40.661204871,-73.950686652,"(40.661204871, -73.950686652)"
852981427,09/30/2016,23:00:00,09/30/2016,23:05:00,09/30/2016,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025580,236918,40.816872438,-73.850684927,"(40.816872438, -73.850684927)"
369976063,09/30/2016,23:00:00,,,09/30/2016,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1038464,192970,40.696177006,-73.804492266,"(40.696177006, -73.804492266)"
117213771,09/30/2016,23:00:00,09/30/2016,23:10:00,09/30/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,110,FRONT OF,STREET,,,1016301,209428,40.741458245,-73.884339073,"(40.741458245, -73.884339073)"
535504374,09/30/2016,22:55:00,09/30/2016,23:15:00,09/30/2016,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1016123,180753,40.662752793,-73.885117129,"(40.662752793, -73.885117129)"
457718282,09/30/2016,22:51:00,,,09/30/2016,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,FRONT OF,STREET,,,1021316,253601,40.862681292,-73.86599763,"(40.862681292, -73.86599763)"
169644942,09/30/2016,22:48:00,09/30/2016,22:50:00,09/30/2016,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1001446,234215,40.809533401,-73.937882826,"(40.809533401, -73.937882826)"
814258815,09/30/2016,22:45:00,,,09/30/2016,117,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,1000481,243059,40.833809505,-73.941347389,"(40.833809505, -73.941347389)"
589253624,09/30/2016,22:45:00,09/30/2016,22:50:00,09/30/2016,117,DANGEROUS DRUGS,501,"CONTROLLED SUBSTANCE,POSSESS.",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021576,240437,40.826548914,-73.865130932,"(40.826548914, -73.865130932)"
585217984,09/30/2016,22:45:00,09/30/2016,23:05:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68,INSIDE,RESIDENCE-HOUSE,,,983959,166877,40.624723511,-74.001049736,"(40.624723511, -74.001049736)"
443296108,09/30/2016,22:45:00,09/30/2016,22:50:00,09/30/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE-HOUSE,,,1017798,213038,40.75136123,-73.878918851,"(40.75136123, -73.878918851)"
940176697,09/30/2016,22:40:00,09/30/2016,23:05:00,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESTAURANT/DINER,,,988950,216678,40.761414491,-73.983035492,"(40.761414491, -73.983035492)"
354224763,09/30/2016,22:30:00,09/30/2016,22:40:00,09/30/2016,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,GOMPERS,989183,201182,40.718881687,-73.982205776,"(40.718881687, -73.982205776)"
697742965,09/30/2016,22:30:00,09/30/2016,23:00:00,09/30/2016,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,7,FRONT OF,RESIDENCE - APT. HOUSE,,,988980,201021,40.718439892,-73.982938206,"(40.718439892, -73.982938206)"
345982550,09/30/2016,22:30:00,09/30/2016,22:50:00,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,66,FRONT OF,STREET,,,985512,168211,40.628384977,-73.995454982,"(40.628384977, -73.995454982)"
696129315,09/30/2016,22:30:00,09/30/2016,22:50:00,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,121,FRONT OF,RESIDENCE-HOUSE,,,942367,146703,40.569251021,-74.150754915,"(40.569251021, -74.150754915)"
190626246,09/30/2016,22:20:00,,,09/30/2016,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,73,FRONT OF,RESIDENCE - PUBLIC HOUSING,,TILDEN,1009905,180751,40.662767503,-73.907529526,"(40.662767503, -73.907529526)"
666595202,09/30/2016,22:20:00,,,09/30/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BRONX,44,,TRANSIT - NYC SUBWAY,,,1004749,240880,40.827819901,-73.925930756,"(40.827819901, -73.925930756)"
707720104,09/30/2016,22:20:00,09/30/2016,22:25:00,09/30/2016,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,OTHER,MANHATTAN,25,INSIDE,OTHER,,,1004138,226326,40.787874599,-73.928181646,"(40.787874599, -73.928181646)"
673262595,09/30/2016,22:15:00,09/30/2016,22:30:00,09/30/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,,,1046693,191875,40.693117259,-73.774826717,"(40.693117259, -73.774826717)"
296821931,09/30/2016,22:15:00,,,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,78,,STREET,,,988608,183956,40.671600609,-73.984291215,"(40.671600609, -73.984291215)"
421464737,09/30/2016,22:15:00,09/30/2016,22:18:00,09/30/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,GROCERY/BODEGA,,,1003090,184597,40.673341037,-73.932083027,"(40.673341037, -73.932083027)"
